Time,Node,RSSI,Temp (*C),Pressure (hPa),Rel. Humidity (%),Gas Resistance (KOhm)
1674102214.0041447,0.0,-36.0,9.23,830.86,36.71,19.94
1674102275.3860183,0.0,-34.0,9.19,830.87,37.54,19.62
1674102336.768187,0.0,-34.0,9.13,830.88,38.04,19.42
1674102398.1464925,0.0,-34.0,9.05,830.88,37.91,19.42
1674102459.5283494,0.0,-35.0,8.95,830.88,37.82,19.46
1674102520.9115734,0.0,-34.0,8.8,830.89,38.02,19.66
1674102582.2934885,0.0,-33.0,8.63,830.9,38.2,19.7
1674102643.6764882,0.0,-34.0,8.42,830.92,38.25,20.08
1674102705.0585015,0.0,-34.0,8.18,830.92,38.3,20.29
1674102766.4414864,0.0,-34.0,7.92,830.91,38.42,20.71
1674102827.8246262,0.0,-35.0,7.63,830.9,38.88,21.01
1674102889.208507,0.0,-34.0,7.32,830.89,39.4,21.44
1674102950.5920014,0.0,-34.0,7.0,830.89,39.93,21.7
1674103011.976057,0.0,-34.0,6.67,830.89,40.52,22.07
1674103073.3602893,0.0,-34.0,6.33,830.89,41.09,22.21
1674103134.7442975,0.0,-34.0,5.99,830.9,41.53,22.53
1674103196.1292877,0.0,-34.0,5.65,830.9,41.95,22.95
1674103257.5142913,0.0,-34.0,5.31,830.9,42.36,23.31
1674103318.8982913,0.0,-35.0,4.97,830.89,42.9,23.74
1674103380.2832963,0.0,-36.0,4.63,830.88,43.53,24.0
1674103441.6684391,0.0,-35.0,4.3,830.89,44.21,24.39
1674103503.0544393,0.0,-35.0,3.98,830.89,44.9,24.68
1674103564.439429,0.0,-34.0,3.66,830.9,45.58,24.93
1674103625.8259292,0.0,-34.0,3.36,830.89,46.26,25.13
1674103687.2119305,0.0,-35.0,3.06,830.89,46.79,25.52
1674103748.5979397,0.0,-35.0,2.77,830.88,47.34,25.45
1674103872.6829438,0.0,-34.0,2.22,830.89,48.53,26.02
1674103934.0691063,0.0,-35.0,1.96,830.91,49.09,26.22
1674103995.4551063,0.0,-34.0,1.7,830.92,49.45,26.62
1674104056.8421063,0.0,-34.0,1.46,830.92,49.86,26.82
1674104118.2286057,0.0,-34.0,1.22,830.91,50.32,27.08
1674104179.6156056,0.0,-35.0,0.99,830.91,50.85,27.29
1674104241.0026097,0.0,-35.0,0.77,830.91,51.37,27.4
1674104302.3896065,0.0,-36.0,0.56,830.9,51.88,27.55
1674104363.776609,0.0,-36.0,0.35,830.9,52.33,27.73
1674104425.1636066,0.0,-35.0,0.15,830.9,52.78,27.95
1674104486.5506065,0.0,-35.0,-0.04,830.89,53.28,28.1
1674104547.9381058,0.0,-35.0,-0.22,830.87,53.72,28.33
1674104609.324702,0.0,-35.0,-0.4,830.86,54.19,28.37
1674104670.7122214,0.0,-36.0,-0.57,830.86,54.62,28.7
1674104732.100222,0.0,-35.0,-0.73,830.86,55.03,28.76
1674104793.4872353,0.0,-36.0,-0.88,830.85,55.44,28.88
1674104854.870232,0.0,-35.0,-1.03,830.86,55.81,29.04
1674104916.2584302,0.0,-35.0,-1.18,830.86,56.17,29.24
1674104977.645482,0.0,-35.0,-1.32,830.87,56.46,29.33
1674105039.033412,0.0,-35.0,-1.45,830.88,56.78,29.22
1674105100.4204073,0.0,-35.0,-1.58,830.9,57.12,29.35
1674105161.808407,0.0,-35.0,-1.7,830.92,57.49,29.64
1674105223.1964464,0.0,-35.0,-1.82,830.92,57.82,29.55
1674105284.5835645,0.0,-35.0,-1.94,830.9,58.12,29.53
1674105345.9717493,0.0,-35.0,-2.04,830.92,58.39,29.72
1674105407.36005,0.0,-34.0,-2.15,830.94,58.64,30.02
1674105468.7479835,0.0,-34.0,-2.25,830.93,58.89,29.93
1674105530.1361353,0.0,-35.0,-2.35,830.93,59.14,29.89
1674105591.5242994,0.0,-35.0,-2.44,830.94,59.33,29.98
1674105652.9119482,0.0,-35.0,-2.54,830.96,59.56,30.26
1674105714.3005052,0.0,-35.0,-2.63,830.96,59.82,30.42
1674105775.688524,0.0,-36.0,-2.71,830.96,60.07,30.33
1674105837.0765615,0.0,-35.0,-2.79,830.95,60.3,30.31
1674105898.4654932,0.0,-36.0,-2.87,830.97,60.53,30.44
1674105959.853681,0.0,-36.0,-2.95,830.99,60.71,30.44
1674106021.2374961,0.0,-35.0,-3.03,831.01,60.93,30.5
1674106082.6272755,0.0,-36.0,-3.1,831.03,61.12,30.44
1674106144.0151165,0.0,-36.0,-3.17,831.04,61.3,30.77
1674106205.4040103,0.0,-35.0,-3.23,831.04,61.48,30.75
1674106266.7920532,0.0,-36.0,-3.3,831.04,61.67,30.75
1674106328.1769772,0.0,-35.0,-3.37,831.06,61.83,30.73
1674106389.5649934,0.0,-36.0,-3.43,831.06,61.99,30.84
1674106450.9538906,0.0,-36.0,-3.49,831.06,62.13,30.96
1674106512.3424964,0.0,-36.0,-3.55,831.06,62.26,30.98
1674106573.731517,0.0,-36.0,-3.6,831.06,62.44,30.91
1674106635.1192238,0.0,-35.0,-3.66,831.06,62.63,31.0
1674106696.5084732,0.0,-36.0,-3.72,831.05,62.79,31.28
1674106757.8964975,0.0,-36.0,-3.77,831.05,62.95,31.14
1674106819.2858522,0.0,-36.0,-3.82,831.06,63.12,31.14
1674106880.6747384,0.0,-36.0,-3.87,831.06,63.28,31.21
1674106942.063156,0.0,-35.0,-3.92,831.06,63.47,31.26
1674107003.4520545,0.0,-36.0,-3.97,831.06,63.57,31.35
1674107064.8410738,0.0,-35.0,-4.01,831.05,63.7,31.35
1674107126.230235,0.0,-35.0,-4.06,831.05,63.84,31.35
1674107187.6149967,0.0,-35.0,-4.11,831.05,63.94,31.52
1674107249.0031211,0.0,-35.0,-4.15,831.05,64.11,31.57
1674107310.3920069,0.0,-35.0,-4.19,831.05,64.24,31.64
1674107371.7812862,0.0,-35.0,-4.24,831.06,64.3,31.71
1674107433.1704915,0.0,-35.0,-4.28,831.06,64.36,31.71
1674107494.5595715,0.0,-35.0,-4.32,831.06,64.43,31.85
1674107555.9484227,0.0,-36.0,-4.36,831.06,64.52,31.83
1674107617.3379602,0.0,-34.0,-4.41,831.07,64.68,32.02
1674107678.7264595,0.0,-34.0,-4.45,831.07,64.86,31.85
1674107740.1159441,0.0,-37.0,-4.48,831.08,65.01,32.0
1674107801.5049634,0.0,-38.0,-4.52,831.09,65.14,32.0
1674107862.8940096,0.0,-37.0,-4.56,831.08,65.25,32.02
1674107924.282864,0.0,-35.0,-4.6,831.09,65.36,32.1
